rebalance_date,ticker,profitability_proxy,cashflow_proxy,leverage_proxy,stability_proxy,quality_score,factor_value,report_period,ann_date,known_at,available_at,factor_id,factor_name
20260331,600132,2.3815,3.41,68.6642,27.3105,0.6275,0.6275,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600133,-0.002,-0.195,49.385,0.0194,-1.37983,-1.37983,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,600135,-0.1008,-0.2993,14.6117,1.0022,0.04582,0.04582,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600136,0.0,-0.0204,69.4848,0.927,-2.08818,-2.08818,20260331,20260423,20260423,20260423,F06,FUNDAMENTAL_QUALITY
20260331,600137,0.1398,-0.1791,22.7332,1.4001,-0.2044,-0.2044,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600138,-0.0586,-0.1873,50.0826,0.5841,-1.37421,-1.37421,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600141,0.1057,-0.923,48.4997,1.0915,-1.40775,-1.40775,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600143,0.1584,0.5352,65.256,1.5569,-1.7501,-1.7501,20260331,20260421,20260421,20260421,F06,FUNDAMENTAL_QUALITY
20260331,600148,0.0967,-0.2509,53.6166,0.9718,-1.48691,-1.48691,20260331,20260425,20260425,20260425,F06,FUNDAMENTAL_QUALITY
20260331,600149,0.2974,-0.0541,33.8622,3.0812,-0.49673,-0.49673,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600150,0.3231,1.0832,62.705,3.2989,-1.4059,-1.4059,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600151,-0.0378,-0.0421,31.0977,0.3774,-0.59751,-0.59751,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600152,-0.1536,0.051,44.7781,1.5252,-1.06115,-1.06115,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600153,0.1279,-9.4039,77.6737,1.1426,-4.26488,-4.26488,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,600155,0.0111,0.8264,67.3352,0.1553,-1.8832,-1.8832,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600156,-0.1566,-0.1659,56.2995,1.5554,-1.56365,-1.56365,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,600157,0.013,0.0518,50.907,0.132,-1.38235,-1.38235,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,600158,-0.024,-0.3962,38.7622,0.2386,-0.98276,-0.98276,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600159,-0.1081,-0.1671,47.6253,1.0732,-1.24423,-1.24423,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600160,0.542,0.3486,38.4052,5.5796,-0.40691,-0.40691,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600161,0.1,-0.0078,7.0671,1.0668,0.43027,0.43027,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600162,-0.0388,0.0599,67.0313,0.3837,-2.01408,-2.01408,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600163,0.2594,0.0573,32.6901,2.714,-0.45585,-0.45585,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600165,-0.5644,-0.0894,47.1144,5.47,-0.96078,-0.96078,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600166,0.3098,0.1506,71.9087,3.1626,-1.97093,-1.97093,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600167,0.4525,-0.0449,20.8645,4.5411,0.13783,0.13783,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600168,0.055,-0.2027,69.8862,0.5584,-2.15976,-2.15976,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600169,0.0493,0.1345,80.9316,0.4942,-2.53898,-2.53898,20260331,20260421,20260421,20260421,F06,FUNDAMENTAL_QUALITY
