ticker,rebalance_date,horizon,forward_return,label_available_at,label_role
600188,20251009,20D,0.138462,20251106,OUTCOME_LABEL_ONLY
600188,20251009,60D,,,OUTCOME_LABEL_ONLY
000166,20251009,5D,0.007394,20251016,OUTCOME_LABEL_ONLY
000166,20251009,20D,0.018484,20251106,OUTCOME_LABEL_ONLY
000166,20251009,60D,,,OUTCOME_LABEL_ONLY
600362,20251009,5D,-0.014857,20251016,OUTCOME_LABEL_ONLY
600362,20251009,20D,0.023309,20251106,OUTCOME_LABEL_ONLY
600362,20251009,60D,,,OUTCOME_LABEL_ONLY
600183,20251009,5D,0.085673,20251016,OUTCOME_LABEL_ONLY
600183,20251009,20D,0.159107,20251106,OUTCOME_LABEL_ONLY
600183,20251009,60D,,,OUTCOME_LABEL_ONLY
601009,20251009,5D,0.075646,20251016,OUTCOME_LABEL_ONLY
601009,20251009,20D,0.074723,20251106,OUTCOME_LABEL_ONLY
601009,20251009,60D,,,OUTCOME_LABEL_ONLY
000425,20251009,5D,0.033421,20251016,OUTCOME_LABEL_ONLY
000425,20251009,20D,-0.046614,20251106,OUTCOME_LABEL_ONLY
000425,20251009,60D,,,OUTCOME_LABEL_ONLY
603799,20251009,5D,-0.079812,20251016,OUTCOME_LABEL_ONLY
603799,20251009,20D,-0.115379,20251106,OUTCOME_LABEL_ONLY
603799,20251009,60D,,,OUTCOME_LABEL_ONLY
600989,20251009,5D,-0.05097,20251016,OUTCOME_LABEL_ONLY
600989,20251009,20D,0.036565,20251106,OUTCOME_LABEL_ONLY
600989,20251009,60D,,,OUTCOME_LABEL_ONLY
002938,20251009,5D,-0.128854,20251016,OUTCOME_LABEL_ONLY
002938,20251009,20D,-0.072358,20251106,OUTCOME_LABEL_ONLY
002938,20251009,60D,,,OUTCOME_LABEL_ONLY
688271,20251009,5D,-0.062774,20251016,OUTCOME_LABEL_ONLY
688271,20251009,20D,-0.125357,20251106,OUTCOME_LABEL_ONLY
688271,20251009,60D,,,OUTCOME_LABEL_ONLY
